Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
54,54,1057,OSS3,1057,turbine,39.33707207,-74.04687676,10.0,2.0,10.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582140.345,4354616.012,3488.420666,10402.90179,1.1576526428014184,0
55,55,1056,OSS3,1056,turbine,39.33543687,-74.05959646,10.0,3.0,10.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581046.0266,4354423.054,2394.102281,10209.94388,1.1576543631391008,0
56,56,1055,OSS3,1055,turbine,39.33380028,-74.07231561,10.0,4.0,10.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579951.7083,4354230.096,1299.783907,10016.98604,1.1576583048096207,0
57,57,1054,OSS3,1054,turbine,39.33216229,-74.08503418,10.0,5.0,10.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578857.3898,4354037.138,205.465474,9824.02816,1.1576599243673782,0
58,58,1044,OSS3,1044,turbine,39.3235484,-74.02047786,11.0,0.0,11.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584431.7144,4353139.472,5779.790099,8926.36197,1.960251963432644,0
59,59,1059,OSS3,1059,turbine,39.34033826,-74.02143565,11.0,1.0,11.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584328.9818,4355001.928,5677.057404,10788.81742,1.917483783942763,0
60,60,1070,OSS3,1070,turbine,39.35386175,-74.04784099,11.0,2.0,11.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582037.6122,4356478.467,3385.687885,12265.35724,2.7720908073454846,0
61,61,1069,OSS3,1069,turbine,39.35222649,-74.06056373,11.0,3.0,11.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580943.2938,4356285.51,2291.369475,12072.39946,1.1576541007430872,0
62,62,1068,OSS3,1068,turbine,39.35058983,-74.0732859,11.0,4.0,11.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579848.9755,4356092.552,1197.051116,11879.44163,1.1576565567650376,0
63,63,1067,OSS3,1067,turbine,39.34895178,-74.08600751,11.0,5.0,11.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578754.6571,4355899.594,102.732737,11686.48372,1.1576597190698026,0
64,64,OSS3,OSS3,OSS3,substation,39.30773892,-74.01175106,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,585203.1276,4351393.116,6551.203263,7180.00587,0.0,0
