Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
85,85,85,1073,OSS1,1073,turbine,39.35423521,-74.17603772,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570991.6958,4356411.344,6154.979276,23054.17481,1.7121845173216863,0
86,86,86,926,OSS2,926,turbine,39.2129955,-74.09092861,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578482.2007,4340806.992,13645.4842,7449.82214,1.157675666624048,0
87,87,87,1085,OSS1,1085,turbine,39.37102411,-74.17703306,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570888.963,4358273.8,6052.246502,24916.63034,1.1576725138919115,0
88,88,88,927,OSS2,927,turbine,39.21463443,-74.07823174,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579576.5191,4340999.95,14739.80264,7642.78001,1.1576702508286365,0
89,89,89,1084,OSS1,1084,turbine,39.36937473,-74.18975616,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569794.6446,4358080.842,4957.928111,24723.67245,1.157667178626759,0
90,90,90,928,OSS2,928,turbine,39.21627196,-74.06553431,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580670.8375,4341192.908,15834.12102,7835.73782,1.1576648135927468,0
91,91,91,1072,OSS1,1072,turbine,39.3525859,-74.18875779,7.0,5.0,7.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569897.3774,4356218.387,5060.660866,22861.21685,1.157662671665532,0
92,92,92,929,OSS2,929,turbine,39.2179081,-74.05283631,7.0,5.0,7.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581765.1558,4341385.865,16928.43932,8028.69573,1.1576588712101323,0
93,93,93,1034,OSS1,1034,turbine,39.30716218,-74.14763046,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573488.5307,4351209.894,8651.814201,17852.72388,1.157656627814572,0
94,94,94,939,OSS2,939,turbine,39.22485996,-74.12999849,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575096.5129,4342090.574,10259.79637,8733.40405,5.103172483310512,0
95,95,95,1049,OSS1,1049,turbine,39.32395138,-74.14861853,8.0,1.0,8.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573385.7979,4353072.349,8549.081459,19715.17936,4.650857992494366,0
96,96,96,924,OSS2,924,turbine,39.20971348,-74.11632065,8.0,1.0,8.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576293.564,4340421.076,11456.84748,7063.9064,1.1576624217321072,0
97,97,97,1062,OSS1,1062,turbine,39.34074053,-74.149607,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573283.0652,4354934.805,8446.348711,21577.63497,1.1576589283991072,0
98,98,98,911,OSS2,911,turbine,39.19456542,-74.10264865,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577490.6151,4338751.578,12653.8986,5394.40878,1.157656811161241,0
99,99,99,1075,OSS1,1075,turbine,39.35752963,-74.15059587,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573180.3325,4356797.26,8343.616009,23440.0905,5.162889924310971,0
100,100,100,912,OSS2,912,turbine,39.19620567,-74.08995536,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578584.9334,4338944.536,13748.21695,5587.36654,1.1576684298542443,0
101,101,101,1076,OSS1,1076,turbine,39.35917474,-74.13787408,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574274.6509,4356990.218,9437.934386,23633.04828,3.663754862918732,0
102,102,102,913,OSS2,913,turbine,39.19784453,-74.0772615,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579679.2519,4339137.494,14842.5354,5780.32448,1.1576586593157696,0
103,103,103,914,OSS2,914,turbine,39.199482,-74.06456708,8.0,5.0,8.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580773.5702,4339330.452,15936.85375,5973.28227,1.157655663809679,0
104,104,104,1035,OSS1,1035,turbine,39.30880708,-74.13491776,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574582.8491,4351402.851,9746.13263,18045.68175,1.1576522226935335,0
105,105,105,908,OSS2,908,turbine,39.18963633,-74.14072514,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574207.66,4338172.705,9370.943491,4815.53516,3.2002727603764143,0
106,106,106,1050,OSS1,1050,turbine,39.32559635,-74.1359028,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574480.1163,4353265.307,9643.399856,19908.13724,1.157672858036878,0
107,107,107,909,OSS2,909,turbine,39.19128075,-74.12803354,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575301.9784,4338365.663,10465.2619,5008.493,2.104199834678651,0
108,108,108,1063,OSS1,1063,turbine,39.34238557,-74.13688824,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574377.3836,4355127.762,9540.66712,21770.59276,1.157669649539931,0
109,109,109,901,OSS2,901,turbine,39.17449107,-74.12705166,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575404.7111,4336503.207,10567.99464,3146.03753,1.157666492024426,0
110,110,110,1077,OSS1,1077,turbine,39.36081846,-74.12515172,9.0,3.0,9.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575368.9693,4357183.176,10532.25278,23826.00617,1.1576644073957805,0
111,111,111,902,OSS2,902,turbine,39.17613404,-74.1143625,9.0,3.0,9.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576499.0295,4336696.165,11662.31302,3338.99536,2.396139665477113,0
112,112,112,1078,OSS1,1078,turbine,39.36246078,-74.11242879,9.0,4.0,9.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576463.2876,4357376.134,11626.57108,24018.96408,2.104206788397096,0
113,113,113,896,OSS2,896,turbine,39.15934424,-74.11338401,9.0,4.0,9.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576601.7622,4334833.71,11765.04576,1476.53986,2.1042080023856418,0
