Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
51,BR39,OSS2,BR39,turbine,-70.4313661,40.65362356,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4501292.009,16668.0028,5556.005,6.781323801114164,0
52,BJ45,OSS1,BJ45,turbine,-70.30223492,40.77193636,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4514256.009,27780.0028,18520.005,2.719430254574109,0
53,BQ39,OSS2,BQ39,turbine,-70.43172275,40.67030258,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4503144.009,16668.0028,7408.005,1.948868469759168,0
54,BK45,OSS1,BK45,turbine,-70.30190939,40.75525669,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0028,4512404.004,27780.0,16668.0,1.9560244092351884,0
55,BJ46,OSS1,BJ46,turbine,-70.28029497,40.77218185,4.0,6.0,4.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4514256.004,29632.0,18520.0,1.9559985041813752,0
56,BP34,OSS2,BP34,turbine,-70.5416298,40.68557039,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4504996.004,7408.0,9260.0,1.955994398623559,0
57,BH44,OSS1,BH44,turbine,-70.32450596,40.7883661,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4516108.009,25928.0028,20372.005,1.9559880403610543,0
58,BN34,OSS2,BN34,turbine,-70.54201435,40.70224848,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4506848.004,7408.0,11112.0,1.955982808327369,0
59,BJ44,OSS1,BJ44,turbine,-70.32417464,40.77168667,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4514256.009,25928.0028,18520.005,2.7193951731230137,0
60,BM34,OSS2,BM34,turbine,-70.54239923,40.71892652,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4508700.004,7408.0,12964.0,2.719402749058439,0
61,BK44,OSS1,BK44,turbine,-70.32384359,40.75500719,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4512404.009,25928.0028,16668.005,7.747289844589854,0
62,BN33,OSS2,BN33,turbine,-70.56392885,40.70195366,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0056,4506848.009,5556.0028,11112.005,2.7194133989207825,0
63,BL44,OSS1,BL44,turbine,-70.32351285,40.73832761,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0028,4510552.004,25928.0,14816.0,2.719409018007682,0
64,BP33,OSS2,BP33,turbine,-70.56353887,40.68527569,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0028,4504996.004,5556.0,9260.0,1.9559981481721391,0
65,BL43,OSS1,BL43,turbine,-70.34544133,40.73807404,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0028,4510552.004,24076.0,14816.0,1.948865851612257,0
66,BP32,OSS2,BP32,turbine,-70.58544761,40.68497684,5.0,5.0,5.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0028,4504996.004,3704.0,9260.0,1.9560074977707105,0
67,BM43,OSS1,BM43,turbine,-70.34510533,40.72139465,5.0,5.0,5.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4508700.009,24076.0028,12964.005,2.7194747754336217,0
68,BP36,OSS2,BP36,turbine,-70.49781071,40.6861473,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4504996.004,11112.0,9260.0,1.956044403617607,0
69,BG44,OSS1,BG44,turbine,-70.3248376,40.80504544,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0028,4517960.005,25928.0,22224.001,1.956033553815275,0
70,BP37,OSS2,BP37,turbine,-70.47590069,40.68642953,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4504996.005,12964.0,9260.001,1.9560337486136845,0
71,BK43,OSS1,BK43,turbine,-70.34577758,40.75475342,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0028,4512404.005,24076.0,16668.001,3.7966817715588337,0
72,BP38,OSS2,BP38,turbine,-70.45399036,40.6867076,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4504996.005,14816.0,9260.001,1.9560585832891595,0
