Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
84,G1M17,OSS-1,G1M17,turbine,36.83895145,-75.2501682,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477694.1401,4077036.171,20589.9954,1711.9997,4.704767620840752,0
85,G3C16,OSS-3,G3C16,turbine,36.977755,-75.28332887,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,474783.141,4092442.168,17678.9963,17117.9965,2.3710451465707867,0
86,G2G03,OSS-2,G2G03,turbine,36.91541003,-75.47776524,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,457443.1446,4085595.17,338.9999,10270.9984,1.440605307631835,0
87,G1M18,OSS-1,G1M18,turbine,36.83898315,-75.23462384,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,479080.1398,4077036.171,21975.9951,1711.9997,1.4406067155921434,0
88,G2F07,OSS-2,G2F07,turbine,36.93106081,-75.41751961,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,462817.1435,4087306.17,5712.9988,11981.9979,1.44060731321498,0
89,G1L12,OSS-1,G1L12,turbine,36.85419011,-75.32985125,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470595.1416,4078748.171,13490.9969,3423.9995,1.4407403937222727,0
90,G3G18,OSS-3,G3G18,turbine,36.9161194,-75.24436887,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,478233.1401,4085595.17,21128.9954,10270.9979,1.44060731321498,0
91,G2E06,OSS-2,G2E06,turbine,36.94643057,-75.43506769,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461262.1438,4089018.169,4157.9991,13693.9975,6.012807615522202,0
92,G1M13,OSS-1,G1M13,turbine,36.83880436,-75.31234538,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,472150.1412,4077036.172,15045.9965,1711.9998,1.4406085444483598,0
93,G3D19,OSS-3,G3D19,turbine,36.96242842,-75.23466507,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,479110.1401,4090730.169,22005.9954,15405.9968,6.012807615522202,0
94,G2E05,OSS-2,G2E05,turbine,36.94637252,-75.45063353,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459876.1441,4089018.169,2771.9994,13693.9976,4.686149532404848,0
95,G1N17,OSS-1,G1N17,turbine,36.82352246,-75.24821175,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477864.14,4075324.172,20759.9953,0.0001,1.440603898093627,0
96,G3D20,OSS-3,G3D20,turbine,36.96245816,-75.21909562,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,480496.1398,4090730.168,23391.9951,15405.9967,4.686149532404848,0
97,G2E04,OSS-2,G2E04,turbine,36.94631244,-75.46619932,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,458490.1444,4089018.169,1385.9997,13693.9976,1.4406065206227467,0
98,G1N18,OSS-1,G1N18,turbine,36.82355388,-75.23267051,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,479250.1397,4075324.172,22145.995,0.0,2.1577508967956938,0
99,G3C20,OSS-3,G3C20,turbine,36.97788731,-75.22103868,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,480327.1399,4092442.168,23222.9952,17117.9964,1.4406065206227467,0
100,G2E03,OSS-2,G2E03,turbine,36.94625032,-75.48176506,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,457104.1447,4089018.169,0.0,13693.9976,8.366469168935643,0
101,G1N19,OSS-1,G1N19,turbine,36.82358328,-75.21712924,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,480636.1394,4075324.172,23531.9947,0.0,1.4405871271802553,0
102,G3C19,OSS-3,G3C19,turbine,36.9778573,-75.23661127,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,478941.1402,4092442.168,21836.9955,17117.9964,8.366469168935643,0
103,G2E07,OSS-2,G2E07,turbine,36.94648657,-75.41950182,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,462648.1435,4089018.169,5543.9988,13693.9975,3.169162223156233,0
104,G1N13,OSS-1,G1N13,turbine,36.82337644,-75.31037645,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,472320.1412,4075324.172,15215.9965,0.0002,1.4405998550557586,0
105,G3F18,OSS-3,G3F18,turbine,36.9315392,-75.24632699,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,478063.1402,4087306.169,20958.9955,11981.9975,3.169162223156233,0
106,G2D06,OSS-2,G2D06,turbine,36.96185593,-75.4370651,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461092.1439,4090730.169,3987.9992,15405.9972,1.440602410187817,0
107,G1N14,OSS-1,G1N14,turbine,36.82341599,-75.29483532,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,473706.1409,4075324.172,16601.9962,0.0002,1.440603800076926,0
108,G3E18,OSS-3,G3E18,turbine,36.94696796,-75.24827472,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477894.1403,4089018.169,20789.9956,13693.9971,1.440602410187817,0
109,G2D05,OSS-2,G2D05,turbine,36.9617976,-75.45263407,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459706.1442,4090730.169,2601.9995,15405.9972,1.4406038805538617,0
110,G1N15,OSS-1,G1N15,turbine,36.82345351,-75.27929415,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,475092.1406,4075324.172,17987.9959,0.0001,4.207257667575211,0
111,G3D18,OSS-3,G3D18,turbine,36.96239663,-75.25023449,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477724.1404,4090730.169,20619.9957,15405.9968,1.4406038805538617,0
112,G2D04,OSS-2,G2D04,turbine,36.96173723,-75.46820299,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,458320.1445,4090730.169,1215.9998,15405.9972,1.4406059084609646,0
113,G1N16,OSS-1,G1N16,turbine,36.823489,-75.26375296,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476478.1403,4075324.172,19373.9956,0.0001,1.440455340050688,0
114,G3C18,OSS-3,G3C18,turbine,36.97782524,-75.25218383,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477555.1405,4092442.168,20450.9958,17117.9964,1.4406059084609646,0
115,G2C05,OSS-2,G2C05,turbine,36.97738186,-75.45572787,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459439.0,4092460.3,2334.8553,17136.1283,1.4405943725553871,0
116,G3B18,OSS-3,G3B18,turbine,36.99324474,-75.25414518,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477385.1405,4094153.168,20280.9958,18828.9961,1.4405943725553871,0
117,G2D07,OSS-2,G2D07,turbine,36.96191221,-75.42149609,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,462478.1436,4090730.169,5373.9989,15405.9971,1.4405910497158694,0
118,G1K12,OSS-1,G1K12,turbine,36.86960859,-75.33182489,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470425.1417,4080459.171,13320.997,5134.9992,2.3716967894717405,0
119,G3F15,OSS-3,G3F15,turbine,36.9314332,-75.29301627,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,473905.1411,4087306.169,16800.9964,11981.9976,1.4405910497158694,0
