Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
55,55,BP35,OSS2,BP35,turbine,-70.51972041,40.68586092,10.0,0.0,10.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4504996.005,9260.000011,9260.00008,1.9559985041813752,0
56,56,BN35,OSS2,BN35,turbine,-70.52009951,40.70253919,10.0,1.0,10.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4506848.005,9259.999956,11112.00007,1.955994398623559,0
57,57,BM35,OSS2,BM35,turbine,-70.52047892,40.7192174,10.0,2.0,10.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4508700.005,9259.999948,12964.00008,1.9559880403610543,0
58,58,BL35,OSS2,BL35,turbine,-70.52085865,40.73589556,10.0,3.0,10.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4510552.004,9260.000008,14816.00001,1.955982808327369,0
59,59,BK36,OSS2,BK36,turbine,-70.49930712,40.75286072,10.0,4.0,10.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4512404.004,11112.00002,16668.00005,2.7193951731230137,0
60,60,BJ37,OSS2,BJ37,turbine,-70.47774464,40.769822,10.0,5.0,10.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4514256.005,12963.99994,18520.00006,2.719402749058439,0
61,61,BL36,OSS2,BL36,turbine,-70.49893255,40.73618244,11.0,0.0,11.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4510552.005,11111.99995,14816.00006,7.747289844589854,0
62,62,BK37,OSS2,BK37,turbine,-70.4773752,40.75314365,11.0,1.0,11.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4512404.009,12964.00275,16668.00472,2.7194133989207825,0
63,63,BJ38,OSS2,BJ38,turbine,-70.45580697,40.77010088,11.0,2.0,11.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4514256.004,14816.00002,18520.00001,2.719409018007682,0
64,64,BH38,OSS2,BH38,turbine,-70.4561712,40.78677938,11.0,3.0,11.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4516108.005,14815.99997,20372.00008,1.9559981481721391,0
65,65,BH39,OSS2,BH39,turbine,-70.43422774,40.78705426,11.0,4.0,11.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0028,4516108.004,16667.99995,20372.00003,1.9488658516122568,0
66,66,BG39,OSS2,BG39,turbine,-70.43458676,40.80373291,11.0,5.0,11.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4517960.009,16668.00281,22224.00475,1.9560074977707105,0
67,67,OSS2,OSS2,OSS2,substation,-70.51934164,40.66918261,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,371582.0028,4503144.004,9259.999999,7408.00001,0.0,0
